"Log do arquivo \\servidor1\CobrancaPCJ\CobrancaPCJ\Retorno\CBR72459312301202521302.ret"
""
"Ignorado cancelamento automático título: 2400004269 2602 - BIRICA EMPREENDIMENT 19/12/2024 BX 505,02 0"
"Ignorado cancelamento automático título: 2400004281 7867 - JRZ & SERRANO EMPREE 19/12/2024 BX 497,71 0"
"Ignorado cancelamento automático título: 2400004297 5467 - CELULA EMPREENDIMENT 19/12/2024 BX 488,51 0"
"Ignorado cancelamento automático título: 2400004301 2392 - NEW PARQUE TENIS 19/12/2024 BX 481,6 0"
"Ignorado cancelamento automático título: 2400004325 2375 - PRODUTOS ALIMENTICIO 19/12/2024 BX 473,01 0"
"Ignorado cancelamento automático título: 2400004337 304 - ASSOC DOS PROPRIETARI 19/12/2024 BX 463,38 0"
"Ignorado cancelamento automático título: 2400004349 34 - CONDOMINIO BOUGAINVILL 19/12/2024 BX 456,64 0"
"Ignorado cancelamento automático título: 2400004353 3091 - KARCHER INDUSTRIA E 19/12/2024 BX 453,04 0"
"Ignorado cancelamento automático título: 2400004377 7744 - RHODIA BRASIL S.A. 19/12/2024 BX 443,06 0"
"Ignorado cancelamento automático título: 2400004381 7754 - MAT EQUIPAMENTOS PAR 19/12/2024 BX 442,86 0"
"Ignorado cancelamento automático título: 2400004385 2713 - HANTALIA TEXTIL LTDA 19/12/2024 BX 442,35 0"
"Ignorado cancelamento automático título: 2400004393 7002 - RAPIDO LUXO CAMPINAS 19/12/2024 BX 439,15 0"
"Ignorado cancelamento automático título: 2400004417 32 - SANMINA SCI DO BRASIL 19/12/2024 BX 439,15 0"
"Ignorado cancelamento automático título: 2400004421 1173 - MASTERCOR BENEFICIAM 19/12/2024 BX 438,8 0"
"Ignorado cancelamento automático título: 2400004441 5442 - ASSOCIACAO DOS PROPR 19/12/2024 BX 432,56 0"
"Ignorado cancelamento automático título: 2400004453 2956 - CENTER GIRO TRANSPOR 19/12/2024 BX 430,86 0"
"Ignorado cancelamento automático título: 2400004457 2549 - KNAUF ISOPOR LTDA. 19/12/2024 BX 428,17 0"
"Ignorado cancelamento automático título: 2400004489 5464 - INSTITUTO ADVENTISTA 19/12/2024 BX 423,41 0"
"Ignorado cancelamento automático título: 2400004509 3703 - ASSOCIACAO DOS PROP. 19/12/2024 BX 409,87 0"
"Ignorado cancelamento automático título: 2400004513 563 - PLAZA INDUSTRIA E COM 19/12/2024 BX 407,02 0"
"Ignorado cancelamento automático título: 2400004517 319 - AGROPECUARIA SANTA RO 19/12/2024 BX 404,38 0"
"Ignorado cancelamento automático título: 2400004565 2229 - AUDAX QUIMICA IND E 19/12/2024 BX 393,81 0"
"Ignorado cancelamento automático título: 2400004625 1077 - DP & LF TRANSPORTES 19/12/2024 BX 375,47 0"
"Ignorado cancelamento automático título: 2400004669 5436 - ANSELMO AGUAS E TRAN 19/12/2024 BX 365,96 0"
"Ignorado cancelamento automático título: 2400004725 3048 - TOSCANA DESENVOLVIME 19/12/2024 BX 361,62 0"
"Ignorado cancelamento automático título: 2400004757 912 - CONFECCOES RACHELTEX 19/12/2024 BX 356,53 0"
"Ignorado cancelamento automático título: 2400004773 1936 - IVO ZARZUR ADMINISTR 19/12/2024 BX 354,9 0"
"Ignorado cancelamento automático título: 2400004789 4674 - L OCCITANE OPERA IND 19/12/2024 BX 351,32 0"
"Ignorado cancelamento automático título: 2400004817 3616 - CONCREMIX S/A 19/12/2024 BX 345,67 0"
"Ignorado cancelamento automático título: 2400004873 6549 - TRENTO & CARVALHO EM 19/12/2024 BX 337,92 0"
"Ignorado cancelamento automático título: 2400004877 3547 - NEO RODAS S.A. 19/12/2024 BX 336,68 0"
"Ignorado cancelamento automático título: 2400004901 4584 - CONJUNTO RESIDENCIAL 19/12/2024 BX 330,83 0"
"Ignorado cancelamento automático título: 2400004913 2553 - UNIGRES CERAMICA LTD 19/12/2024 BX 329,49 0"
"Ignorado cancelamento automático título: 2400004921 4709 - CHAUTEAUX DENIN INDU 19/12/2024 BX 329,36 0"
"Ignorado cancelamento automático título: 2400004933 3890 - V. BARROS PARTICIPAC 19/12/2024 BX 329,36 0"
"Ignorado cancelamento automático título: 2400004937 3160 - VIA APPIA FESTAS E E 19/12/2024 BX 329,36 0"
"Ignorado cancelamento automático título: 2400004941 2452 - RUI GONCALVES TEIXEI 19/12/2024 BX 329,15 0"
"Ignorado cancelamento automático título: 2400004969 5 - AMCOR RIGID PLASTICS DO 19/12/2024 BX 324,65 0"
"Ignorado cancelamento automático título: 2400004985 4496 - EMPRESA MINERADORA S 19/12/2024 BX 321,76 0"
"Ignorado cancelamento automático título: 2400005013 473 - TECELAGEM CHUAHY LTDA 19/12/2024 BX 319,56 0"
"Ignorado cancelamento automático título: 2400005017 7874 - SENDAS DISTRIBUIDORA 19/12/2024 BX 318,57 0"
"Ignorado cancelamento automático título: 2400005037 289 - INDUSTRIA CERAMICA FR 19/12/2024 BX 314,72 0"
"Ignorado cancelamento automático título: 2400005053 7847 - SP EMPRESARIAL EMPRE 19/12/2024 BX 311 0"
"Ignorado cancelamento automático título: 2400005061 5772 - CORIL TRANSPORTES LT 19/12/2024 BX 310,75 0"
"Ignorado cancelamento automático título: 2400005065 1481 - BELLACOR TINTURARIA 19/12/2024 BX 310,4 0"
"Ignorado cancelamento automático título: 2400005069 14 - BORGWARNER INDUSTRIA E 19/12/2024 BX 309,64 0"
"Ignorado cancelamento automático título: 2400005073 6600 - TERRA AZUL MARKETING 19/12/2024 BX 309,52 0"
"Ignorado cancelamento automático título: 2400005093 2268 - TRANS BERENGUER TRAN 19/12/2024 BX 303,75 0"
"Ignorado cancelamento automático título: 2400005101 5608 - ASSOCIACAO DE MORADO 19/12/2024 BX 303,01 0"
"Ignorado cancelamento automático título: 2400005129 1597 - PREFEITURA MUNICIPAL 19/12/2024 BX 299,23 0"
"Ignorado cancelamento automático título: 2400005133 5446 - ESMERALDA INDUSTRIA 19/12/2024 BX 298,68 0"
"Ignorado cancelamento automático título: 2400005169 5064 - GERALDO CESAR KILLER 19/12/2024 BX 292,77 0"
"Ignorado cancelamento automático título: 2400005189 2832 - THERMAS DAS AGUAS DE 19/12/2024 BX 292,77 0"
"Ignorado cancelamento automático título: 2400005201 2800 - CHENDEL PARTICIPACOE 19/12/2024 BX 290,94 0"
"Ignorado cancelamento automático título: 2400005213 5339 - GILBERTO CARLOS FALC 19/12/2024 BX 287,48 0"
"Ignorado cancelamento automático título: 2400005221 2719 - E-TECNO EMPREENDIMEN 19/12/2024 BX 283,97 0"
"Ignorado cancelamento automático título: 2400005241 1430 - ASSOCIACAO DOS MORAD 19/12/2024 BX 278,13 0"
"Ignorado cancelamento automático título: 2400005249 5773 - OWB INDUSTRIA DE AUT 19/12/2024 BX 277,89 0"
"Ignorado cancelamento automático título: 2400005277 3897 - BAGLEY DO BRASIL ALI 19/12/2024 BX 272,6 0"
"Ignorado cancelamento automático título: 2400005297 3984 - BELEM TRANSPORTES E 19/12/2024 BX 269,51 0"
"Ignorado cancelamento automático título: 2400005305 3428 - BENEFICIAMENTO TEXTI 19/12/2024 BX 267,52 0"
"Ignorado cancelamento automático título: 2400005313 2360 - ORION COMERCIO DE MI 19/12/2024 BX 266,81 0"
"Ignorado cancelamento automático título: 2400005345 779 - MERI IDO 19/12/2024 BX 261,63 0"
"Ignorado cancelamento automático título: 2400005385 1192 - SECRETARIA DA ADMINI 19/12/2024 BX 255,46 0"
"Ignorado cancelamento automático título: 2400005393 5651 - TERROIR DE BRAGANCA 19/12/2024 BX 254,86 0"
"Ignorado cancelamento automático título: 2400005417 7749 - CONCREPAV PARTICIPAC 19/12/2024 BX 250,26 0"
"Ignorado cancelamento automático título: 2400005461 1598 - ARTEC PISOS E REVEST 19/12/2024 BX 239,4 0"
"Ignorado cancelamento automático título: 2400005485 5564 - ASSOC DOS PROPRITARI 19/12/2024 BX 234,62 0"
"Ignorado cancelamento automático título: 2400005489 2798 - MINERADORA AGUA BRAN 19/12/2024 BX 234,21 0"
"Ignorado cancelamento automático título: 2400005493 4820 - TRANSPEDROSA S/A 19/12/2024 BX 234,21 0"
"Ignorado cancelamento automático título: 2400005513 1610 - CARTHOM S ELETRO MET 19/12/2024 BX 230,88 0"
"Ignorado cancelamento automático título: 2400005517 290 - MAKRO ATACADISTA S/A 19/12/2024 BX 230,55 0"
